avg_accuracy,avg_time,max_difficulty,retry_rate,quizzes_attempted,skill_label
58.72700594236812,33.767857660247905,3,0.3118764001091077,25,1
47.80093202212183,13.899863008405067,3,0.18369955678634686,28,0
72.54442364744264,11.410289475677507,2,0.08493564427131046,68,2
89.61057796456087,25.437037740692915,2,0.20990257265289514,53,1
66.23873301291945,19.99652429288139,3,0.1824279936868144,51,1
70.91930046665436,19.56154978167907,1,0.01858016508799909,55,1
74.01537692938899,21.262481299238573,2,0.37955421490133334,64,2
68.16441089227696,19.6354125634979,2,0.039068845602553554,64,1
46.10191174223894,22.379422752781757,3,0.06934586140310883,40,0
49.11180438940312,28.884035257941314,2,0.20802720847112433,8,0
49.24272277627635,34.239615694113965,2,0.17990165334790628,78,0
84.74136752138244,24.94749947027713,3,0.0353970008207678,66,1
56.266516538163216,19.71693224223705,2,0.21587685295563191,28,1
57.83766633467947,17.023362742184517,1,0.05636968998990506,19,1
48.263346953150126,10.390910168529848,1,0.308897907718663,12,0
40.27610585618012,30.386535711370854,1,0.28453678109946,39,0
78.56351733429729,11.85111629335226,3,0.2604308102007778,32,2
83.15517129377967,25.58245317068895,2,0.03816404659616453,27,1
73.44206263318037,26.648058915437417,2,0.3548850970305306,69,1
59.14634373768949,34.292802384727594,3,0.304314019446759,18,1
64.68977981821953,23.06832073454985,3,0.04435632832473253,55,1
41.57145928433671,25.91026028159451,1,0.20342827646588113,27,0
70.22086896389087,23.496027282541828,1,0.09151926619664899,36,1
69.9432733244268,27.369623325992613,2,0.24974161925351732,66,1
71.67018782552117,31.78651475469294,2,0.35331210356754733,66,1
45.50259622638384,15.698379063548542,2,0.00020815079812632755,7,0
40.34760652655954,22.768682564439143,1,0.19393198854359328,55,0
53.470616689926075,16.103138056194354,3,0.1292811728083021,56,0
58.1814801189647,34.29455206802402,2,0.27852170913591534,7,1
55.04391549083849,17.12101235943669,1,0.106712405710114,6,1
65.13395116144308,11.286968781249733,1,0.1380284992106732,5,1
51.978094533348624,13.622371802280577,2,0.3942601816442403,36,0
69.63483619396968,12.021333158317882,3,0.09686397531097035,42,1
58.389156635962664,25.807645764839485,2,0.15952977697782122,20,1
81.7651247794619,18.019501624293397,2,0.27832512271635274,7,2
69.5446471594121,26.93910904605706,3,0.2844598129752071,23,1
57.43329936458647,12.40441377728552,1,0.2763750952409864,43,1
86.83649943683673,13.438023603649832,1,0.04538940849623563,27,1
67.07239869137828,27.394609983627056,3,0.26399361841367164,64,1
53.04145874152045,34.90634249394811,2,0.35888630318133075,41,0
84.13181715946698,14.717677708534485,1,0.13968382984506436,52,1
82.3330571119153,31.408107296952313,2,0.3119502183430496,28,1
82.54642243837563,33.39087485552369,2,0.26759530188569147,29,1
40.253079192310935,14.020201285437466,2,0.19424550143449065,39,0
72.59806297513003,15.606732736513994,1,0.0072301454462083475,18,1
56.26998490796339,28.662285127950604,3,0.2883759697008517,37,1
67.12701152774497,22.720351920969,2,0.10608094707269018,34,1
88.65052773762227,19.82744311666901,2,0.3624395150874216,31,2
79.74056517708243,22.5659273276298,3,0.19700707752754557,73,1
51.509263412077765,22.47983449711881,3,0.30742160572252364,21,0
89.72752553986706,21.748612849773572,2,0.3659457560881794,41,2
86.41592812938626,20.704603707932858,1,0.22891698766833535,64,1
82.650472773368,17.36122230173964,1,0.07636441246013842,37,1
55.84610025781389,14.237318667152312,1,0.1578765867237889,58,1
74.80148983374865,24.251529252234125,2,0.2460028906796679,27,1
47.0042007618262,22.958241309093417,2,0.1290203056954402,37,0
46.83106657210144,27.722774922752965,3,0.11743673770579735,30,0
80.50566973395904,31.676807964502594,1,0.032637672160096144,11,1
65.07581473435998,29.95737947416938,1,0.028376366799971065,20,1
42.53842655196985,32.165428723766496,3,0.1502331810559776,70,0
61.92370615090435,26.800653382379984,3,0.18623920725298407,67,1
89.09204441552654,30.973337551734083,2,0.012200099975619771,56,1
41.94173672147116,17.58163786683057,3,0.05082420506075391,12,0
78.49967765493054,15.39552568742108,1,0.18290606464549142,10,1
42.58408605843039,23.283865789203702,3,0.27980488430687755,44,0
76.30456668613309,34.396301986563365,2,0.12918258917649839,21,1
59.94104507223973,20.83801843951855,2,0.03138255253690638,66,1
81.79900602561028,27.399355152342448,1,0.023277438203377444,5,1
62.11761148655522,15.99468397893508,2,0.28583836908002497,5,1
87.7432640331597,28.447422917394213,3,0.17426915947115643,71,1
52.386549475057876,18.89931696628154,1,0.048065859122256874,33,0
45.80363202534581,11.150066050543819,1,0.12456532375651769,66,0
75.18289296900119,21.85434572718313,2,0.3053457692015644,43,2
57.31521605447004,21.616845323490285,1,0.1594018937589494,14,1
87.4572865795693,32.16700968245119,3,0.0061218161161539,23,1
65.15681292900439,31.412246029708058,1,0.27358550775925644,20,1
43.52843737002149,26.06048195515789,1,0.34687957342200154,36,0
87.01151207124788,24.386854446896976,2,0.22934681666877332,37,1
62.91264452457583,23.640419732898373,1,0.2503758680406291,69,1
88.05952819119571,32.63376604890159,1,0.027744520350066183,50,1
40.91109128257749,12.36107401889821,3,0.1346216859554906,12,0
59.26983104827825,27.040341724319745,2,0.32578739303557436,11,1
45.90824138108281,27.418429134103768,1,0.37465926074228295,40,0
60.89730158577893,34.18951378800619,2,0.16938837692324743,28,1
80.3417369633632,34.76262855001683,2,0.10000657968644187,28,1
83.3558303604861,24.04666730359434,1,0.27193791196009837,27,1
77.72714370423412,12.578096720898316,1,0.21373098941222538,17,1
84.77616142481003,19.73004196835408,1,0.3621527905677055,13,1
55.965681879520744,33.751549176270125,3,0.197210263108722,20,1
62.42227609891599,17.330269292451614,1,0.22148122093832032,57,1
79.57895218629243,29.740453569863845,1,0.37237164227491704,62,1
42.877938000832216,23.73822205809339,1,0.29481422271640356,79,0
45.853350821380296,13.574792051320896,2,0.33478554969494956,21,0
45.05613380613951,12.102670152874936,1,0.08903056702841222,13,0
81.09300296451781,27.656055678912406,1,0.20533046747695716,42,1
89.33197892505876,19.356769893903007,1,0.35214398745536674,21,1
87.36242886919294,34.650026595571774,2,0.28327247823327995,23,1
78.85734579637185,23.960106243395124,3,0.09948966177211518,23,1
45.559874115307565,22.31562760727148,1,0.16208083471256685,62,0
77.04869304553341,29.17987132771429,3,0.25968412084642545,5,1
74.05197135484545,15.937661782311748,1,0.14994823180948164,29,1
83.42995640947302,15.589895962986315,2,0.32084369961069364,49,2
88.49394133538195,11.078997798764403,1,0.017360313319269106,79,1
85.95578576393297,16.32475419973103,3,0.3877210142476396,22,2
48.31077159546265,15.420227664662281,3,0.1818164259071093,58,0
69.21571559615501,32.52895026227472,1,0.36610173666764256,78,1
87.52057420382793,32.25659459727291,1,0.11095247319245308,40,1
63.18492024699911,18.833805700651318,2,0.10637516998569559,45,1
52.99749314271313,21.331021170720774,3,0.21443854653764816,37,0
60.56033604360931,25.069547050582464,1,0.05327405008949988,39,1
81.12686214615846,33.7449978322981,1,0.24536607837431595,70,1
44.137421001765304,31.91653714814482,3,0.018087468042475765,37,0
78.88011418676128,22.009252046658865,3,0.06016675644141128,30,1
59.04454283155108,34.24785994536508,3,0.22763258766629907,37,1
63.434657989748516,20.37048755844163,1,0.005468785930798914,59,1
83.23611881275266,30.32252522825194,3,0.2999642997879887,7,1
67.77158528013138,29.224685379512763,1,0.3028324808169824,21,1
52.05424161648159,15.126133212663124,1,0.38162041090348897,8,0
51.43214027517314,26.792517110146417,2,0.14326508721313622,76,0
41.109237101515085,22.454129666147324,2,0.30892735669425575,54,0
82.609075015927,23.797670969362137,1,0.03536328934625863,61,1
